MutationType	11576_D	11745	11764	11837	11840_D	11845_D	11883_D	11884	11957	11977	12150	12162_D	12163	12202	12210	12226	12255	12280	12290	12339	12386	12430	12466	12530	12531_D	12541_D	12560	12579	12605	12607	12628	12675	12707	12708	12839_D	12844_D	12886_D	12893_D	12906	12921	12930_D	12941	12993	12994_D	13017	13070	13179	13231	13400	13413	13414	13510_D	13532_D	13533	13563	13577_D	13578	13599	13629_D	13630	13634	13655	13671	13682	13710	13738_D	13739_D	13785	13856_D	13884	13967	14040	14069	14112_D	14134	14219	14246	14270	14271	14338	14345	14380	14402	14420	14446	14464	14498_D	14534_D	14666	14688_D	14720	14742	14766_D	14767_D	14782	14783_D	14800	14832	14835	14868_D	14909	14922	15016	15124	15127	15128	15190	15202	15212	15228	15229	15251	15284_D	15297	15318_D	15321	15359	15415_D	15474	15492	15495_D	15528	15555_D	15563	15582_D	15585	15596_D	15597	15598	15677	15678	15697_D	15765	15801	15803_D	15805	15822	15898	15903	15915	15923	15941_D	15956	15959_D	15998	15999	16036_D	16045_D	16085	16125	16159	16183	16212	16216	16217	16244	16245	16259	16288	16310	16327_D	16328	16342	16356	16359	16390	16404	16405	16427	16433_D	16439	16440	16443	16468	16479	16494	16506_D	16527	16544	16572	16124	16462	12674_D
0:homdel:0-100kb	1	1	0	5	4	13	9	21	5	20	4	7	6	2	9	11	4	11	5	5	1	8	2	5	7	6	7	5	7	5	17	8	10	2	4	10	7	3	3	1	4	0	6	4	9	31	7	4	3	4	11	9	4	1	16	2	8	12	9	14	4	6	4	17	9	8	1	6	7	2	10	24	23	9	2	5	4	15	6	3	7	6	13	8	6	2	7	14	5	1	7	7	11	3	0	1	6	1	10	8	3	1	9	10	13	4	7	7	3	5	14	8	12	10	21	2	27	9	4	8	8	4	3	2	8	2	18	5	2	2	1	3	4	22	3	3	6	8	5	1	21	20	0	0	3	7	1	9	2	2	8	9	2	13	0	0	8	8	3	7	8	1	3	3	10	6	6	10	14	5	2	4	4	1	3	10	14	3	13	18	0	1	0
0:homdel:100kb-1Mb	4	1	3	3	1	5	2	2	3	1	8	3	3	0	4	12	2	2	2	6	3	3	1	3	1	13	4	5	2	5	6	2	6	2	3	2	3	3	2	2	10	1	4	0	4	4	1	0	1	0	3	2	2	2	5	3	3	6	3	3	6	1	1	2	3	4	0	4	1	1	4	4	38	4	5	1	4	11	2	1	1	5	5	1	3	42	4	9	4	2	2	1	4	1	1	2	3	3	2	3	0	0	1	2	2	5	4	3	3	4	39	0	11	2	4	1	7	1	5	4	2	1	2	2	5	1	16	8	1	3	3	2	3	10	2	6	4	5	3	3	4	2	2	6	1	1	1	4	4	2	2	2	2	5	1	1	1	2	1	1	6	2	4	1	1	5	2	3	1	6	1	2	1	1	1	2	2	3	2	4	2	1	1
0:homdel:>1Mb	0	0	0	0	1	0	0	0	0	0	0	4	0	1	2	1	0	1	0	1	1	0	0	0	0	2	4	0	1	4	0	0	5	0	1	1	5	0	0	0	15	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	5	0	2	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	227	0	10	0	0	0	6	0	3	0	1	0	1	0	0	0	7	2	0	0	2	0	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	1	0	0	11	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
1:LOH:0-100kb	4	2	2	5	3	4	5	6	6	8	6	7	6	1	4	22	5	5	4	7	1	5	3	2	4	17	6	5	1	9	4	4	8	0	6	4	4	4	1	8	2	2	11	2	6	4	5	1	5	4	7	15	3	1	6	6	18	3	3	10	3	6	5	12	5	6	1	10	1	3	2	11	1	12	9	3	10	17	6	8	0	10	9	6	1	3	14	11	4	1	8	7	15	1	1	7	4	7	5	9	0	5	6	3	7	1	4	2	2	7	6	6	1	9	14	5	5	3	5	12	4	1	3	0	10	4	24	0	4	1	1	8	7	5	1	3	6	13	2	6	11	10	1	7	5	4	4	5	8	1	5	13	3	2	2	5	1	7	5	0	10	6	10	2	8	8	5	7	4	4	2	1	5	2	6	6	25	5	4	9	4	0	1
1:LOH:100kb-1Mb	13	5	1	5	2	19	8	7	2	8	13	4	5	1	9	21	5	5	7	17	3	8	5	4	6	28	6	5	0	8	8	5	9	2	5	8	6	6	4	11	2	2	12	7	10	2	2	6	7	5	7	18	5	2	5	2	21	1	4	8	8	8	3	18	9	6	4	5	6	7	12	11	15	14	10	5	5	22	4	3	2	8	16	14	8	5	12	20	5	3	4	9	13	4	2	5	3	3	11	9	0	10	4	9	7	6	6	5	5	2	5	6	3	5	16	1	17	7	2	10	5	8	2	4	18	3	16	1	3	8	2	6	2	11	1	3	3	9	6	7	15	17	5	4	3	3	6	22	2	2	8	6	3	8	3	4	7	10	6	0	13	4	10	5	6	7	6	3	8	15	3	4	6	1	5	10	21	7	6	7	5	4	2
1:LOH:1Mb-10Mb	13	1	1	1	3	20	8	7	3	1	14	1	2	3	17	34	1	3	5	15	2	5	0	2	1	14	2	13	3	23	15	11	9	1	4	17	6	0	0	8	11	0	9	9	7	3	6	7	3	3	5	34	9	0	7	0	12	1	2	13	6	5	1	24	4	18	3	6	6	6	18	25	10	24	6	3	12	61	7	7	0	19	11	12	6	4	3	14	6	4	6	8	16	1	0	1	5	0	17	9	1	7	2	3	4	4	2	4	0	0	78	2	7	3	20	0	24	9	4	24	7	1	6	1	16	0	19	9	1	6	2	0	3	23	0	4	3	22	4	0	9	25	1	0	1	0	0	19	0	0	6	2	3	14	2	0	8	7	3	0	36	12	9	0	8	5	12	11	9	15	0	6	1	0	12	3	11	2	4	16	12	1	0
1:LOH:10Mb-40Mb	0	1	0	1	2	4	7	11	4	0	9	0	0	0	6	11	2	2	2	8	2	6	1	0	0	5	11	1	2	13	8	4	9	0	5	8	4	0	0	4	3	2	2	2	5	1	2	3	0	1	4	10	2	0	2	1	9	1	3	2	2	7	1	8	5	6	0	8	8	4	16	16	4	9	5	4	10	10	2	3	0	6	4	5	3	5	2	9	11	3	3	3	11	2	0	2	0	0	6	6	0	3	1	7	1	3	3	6	0	0	9	4	4	2	10	0	26	9	0	12	3	0	1	1	7	0	13	11	2	2	1	0	4	9	0	1	4	7	5	0	11	29	1	0	1	0	0	10	0	0	7	2	2	6	0	0	4	8	0	2	8	5	5	0	4	4	10	5	5	9	0	0	0	0	4	5	3	2	1	1	5	2	0
1:LOH:>40Mb	0	0	0	0	0	2	2	2	0	0	0	2	0	1	1	1	0	0	0	2	2	3	0	1	2	4	0	2	0	0	2	0	3	2	0	2	3	0	0	1	0	1	0	0	1	3	1	1	0	0	3	2	1	0	0	1	2	1	2	1	3	0	0	5	2	1	1	1	1	0	5	0	2	0	1	1	4	0	3	0	0	0	2	2	3	2	0	0	3	0	1	4	0	0	0	0	0	0	2	1	0	1	0	2	1	0	7	0	0	0	0	0	3	1	2	0	5	2	0	2	1	0	2	1	0	0	1	20	0	0	1	1	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	1	3	0	1	3	1	1	1	0	3	1	2	3	1	2	4	1	1	2	1	0	0	2	1	1	3	1	0	0	0
2:LOH:0-100kb	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
